0,1,2
20150976,신과함께-죄와 벌,"[{'genreNm': '판타지'}, {'genreNm': '드라마'}]"
20170590,1987,[{'genreNm': '드라마'}]
20171909,쥬만지: 새로운 세계,"[{'genreNm': '액션'}, {'genreNm': '어드벤처'}]"
20177104,페르디난드,"[{'genreNm': '애니메이션'}, {'genreNm': '어드벤처'}, {'genreNm': '코미디'}]"
20170402,강철비,"[{'genreNm': '액션'}, {'genreNm': '드라마'}]"
20179462,위대한 쇼맨,"[{'genreNm': '드라마'}, {'genreNm': '뮤지컬'}]"
20174965,극장판 포켓몬스터 너로 정했다!,"[{'genreNm': '애니메이션'}, {'genreNm': '어드벤처'}, {'genreNm': '가족'}]"
20176947,원더,[{'genreNm': '드라마'}]
20176082,몬스터 패밀리,[{'genreNm': '애니메이션'}]
20174846,뽀로로 극장판 공룡섬 대모험,[{'genreNm': '애니메이션'}]
20170590,1987,[{'genreNm': '드라마'}]
20150976,신과함께-죄와 벌,"[{'genreNm': '판타지'}, {'genreNm': '드라마'}]"
20179985,코코,[{'genreNm': '애니메이션'}]
20171909,쥬만지: 새로운 세계,"[{'genreNm': '액션'}, {'genreNm': '어드벤처'}]"
20177104,페르디난드,"[{'genreNm': '애니메이션'}, {'genreNm': '어드벤처'}, {'genreNm': '코미디'}]"
20179462,위대한 쇼맨,"[{'genreNm': '드라마'}, {'genreNm': '뮤지컬'}]"
20173547,다운사이징,"[{'genreNm': '드라마'}, {'genreNm': '코미디'}]"
20170402,강철비,"[{'genreNm': '액션'}, {'genreNm': '드라마'}]"
20176947,원더,[{'genreNm': '드라마'}]
20177602,"쏘아올린 불꽃, 밑에서 볼까? 옆에서 볼까?","[{'genreNm': '애니메이션'}, {'genreNm': '멜로/로맨스'}]"
20175054,메이즈 러너: 데스 큐어,"[{'genreNm': '액션'}, {'genreNm': 'SF'}, {'genreNm': '스릴러'}]"
20179985,코코,[{'genreNm': '애니메이션'}]
20176104,그것만이 내 세상,"[{'genreNm': '코미디'}, {'genreNm': '드라마'}]"
20170590,1987,[{'genreNm': '드라마'}]
20150976,신과함께-죄와 벌,"[{'genreNm': '판타지'}, {'genreNm': '드라마'}]"
20171909,쥬만지: 새로운 세계,"[{'genreNm': '액션'}, {'genreNm': '어드벤처'}]"
20179462,위대한 쇼맨,"[{'genreNm': '드라마'}, {'genreNm': '뮤지컬'}]"
20177104,페르디난드,"[{'genreNm': '애니메이션'}, {'genreNm': '어드벤처'}, {'genreNm': '코미디'}]"
20176947,원더,[{'genreNm': '드라마'}]
20173547,다운사이징,"[{'genreNm': '드라마'}, {'genreNm': '코미디'}]"
20176104,그것만이 내 세상,"[{'genreNm': '코미디'}, {'genreNm': '드라마'}]"
20179985,코코,[{'genreNm': '애니메이션'}]
20175054,메이즈 러너: 데스 큐어,"[{'genreNm': '액션'}, {'genreNm': 'SF'}, {'genreNm': '스릴러'}]"
20150976,신과함께-죄와 벌,"[{'genreNm': '판타지'}, {'genreNm': '드라마'}]"
20170590,1987,[{'genreNm': '드라마'}]
20178230,커뮤터,[{'genreNm': '액션'}]
20168161,1급기밀,[{'genreNm': '드라마'}]
20179462,위대한 쇼맨,"[{'genreNm': '드라마'}, {'genreNm': '뮤지컬'}]"
20177473,비밥바룰라,[{'genreNm': '코미디'}]
20178444,극장판 레이디버그: 미라클스톤의 비밀,[{'genreNm': '애니메이션'}]
20168323,염력,"[{'genreNm': '드라마'}, {'genreNm': '코미디'}]"
20176104,그것만이 내 세상,"[{'genreNm': '코미디'}, {'genreNm': '드라마'}]"
20179985,코코,[{'genreNm': '애니메이션'}]
20178126,인시디어스4: 라스트 키,"[{'genreNm': '공포(호러)'}, {'genreNm': '미스터리'}, {'genreNm': '스릴러'}]"
20175054,메이즈 러너: 데스 큐어,"[{'genreNm': '액션'}, {'genreNm': 'SF'}, {'genreNm': '스릴러'}]"
20150976,신과함께-죄와 벌,"[{'genreNm': '판타지'}, {'genreNm': '드라마'}]"
20170590,1987,[{'genreNm': '드라마'}]
20178395,12 솔져스,"[{'genreNm': '액션'}, {'genreNm': '드라마'}, {'genreNm': '전쟁'}]"
20178230,커뮤터,[{'genreNm': '액션'}]
20179228,마야2,[{'genreNm': '애니메이션'}]
20179205,조선명탐정: 흡혈괴마의 비밀,"[{'genreNm': '사극'}, {'genreNm': '어드벤처'}, {'genreNm': '코미디'}]"
20176104,그것만이 내 세상,"[{'genreNm': '코미디'}, {'genreNm': '드라마'}]"
20179985,코코,[{'genreNm': '애니메이션'}]
20178126,인시디어스4: 라스트 키,"[{'genreNm': '공포(호러)'}, {'genreNm': '미스터리'}, {'genreNm': '스릴러'}]"
20150976,신과함께-죄와 벌,"[{'genreNm': '판타지'}, {'genreNm': '드라마'}]"
20168323,염력,"[{'genreNm': '드라마'}, {'genreNm': '코미디'}]"
20178672,패딩턴 2,"[{'genreNm': '코미디'}, {'genreNm': '드라마'}]"
20175054,메이즈 러너: 데스 큐어,"[{'genreNm': '액션'}, {'genreNm': 'SF'}, {'genreNm': '스릴러'}]"
20178395,12 솔져스,"[{'genreNm': '액션'}, {'genreNm': '드라마'}, {'genreNm': '전쟁'}]"
20170590,1987,[{'genreNm': '드라마'}]
20170561,블랙 팬서,"[{'genreNm': '액션'}, {'genreNm': '드라마'}, {'genreNm': 'SF'}]"
20179205,조선명탐정: 흡혈괴마의 비밀,"[{'genreNm': '사극'}, {'genreNm': '어드벤처'}, {'genreNm': '코미디'}]"
20168250,골든슬럼버,"[{'genreNm': '범죄'}, {'genreNm': '드라마'}]"
20176121,흥부: 글로 세상을 바꾼 자,[{'genreNm': '사극'}]
20078561,명탐정 코난:감벽의 관,[{'genreNm': '애니메이션'}]
20176104,그것만이 내 세상,"[{'genreNm': '코미디'}, {'genreNm': '드라마'}]"
20179985,코코,[{'genreNm': '애니메이션'}]
20178672,패딩턴 2,"[{'genreNm': '코미디'}, {'genreNm': '드라마'}]"
20150976,신과함께-죄와 벌,"[{'genreNm': '판타지'}, {'genreNm': '드라마'}]"
20178126,인시디어스4: 라스트 키,"[{'genreNm': '공포(호러)'}, {'genreNm': '미스터리'}, {'genreNm': '스릴러'}]"
20170561,블랙 팬서,"[{'genreNm': '액션'}, {'genreNm': '드라마'}, {'genreNm': 'SF'}]"
20168250,골든슬럼버,"[{'genreNm': '범죄'}, {'genreNm': '드라마'}]"
20179205,조선명탐정: 흡혈괴마의 비밀,"[{'genreNm': '사극'}, {'genreNm': '어드벤처'}, {'genreNm': '코미디'}]"
20177946,월요일이 사라졌다,"[{'genreNm': '액션'}, {'genreNm': '어드벤처'}, {'genreNm': '범죄'}]"
20173436,셰이프 오브 워터: 사랑의 모양,"[{'genreNm': '어드벤처'}, {'genreNm': '판타지'}]"
20180542,50가지 그림자: 해방,"[{'genreNm': '드라마'}, {'genreNm': '멜로/로맨스'}, {'genreNm': '스릴러'}]"
20176121,흥부: 글로 세상을 바꾼 자,[{'genreNm': '사극'}]
20078561,명탐정 코난:감벽의 관,[{'genreNm': '애니메이션'}]
20178672,패딩턴 2,"[{'genreNm': '코미디'}, {'genreNm': '드라마'}]"
20179985,코코,[{'genreNm': '애니메이션'}]
20150969,궁합,"[{'genreNm': '코미디'}, {'genreNm': '드라마'}]"
20170561,블랙 팬서,"[{'genreNm': '액션'}, {'genreNm': '드라마'}, {'genreNm': 'SF'}]"
20170841,리틀 포레스트,[{'genreNm': '드라마'}]
20177946,월요일이 사라졌다,"[{'genreNm': '액션'}, {'genreNm': '어드벤처'}, {'genreNm': '범죄'}]"
20173436,셰이프 오브 워터: 사랑의 모양,"[{'genreNm': '어드벤처'}, {'genreNm': '판타지'}]"
20179731,나미야 잡화점의 기적,"[{'genreNm': '판타지'}, {'genreNm': '드라마'}]"
20180341,레드 스패로,[{'genreNm': '스릴러'}]
20180542,50가지 그림자: 해방,"[{'genreNm': '드라마'}, {'genreNm': '멜로/로맨스'}, {'genreNm': '스릴러'}]"
20189663,게이트,"[{'genreNm': '범죄'}, {'genreNm': '코미디'}]"
20189861,더 포스트,"[{'genreNm': '드라마'}, {'genreNm': '스릴러'}]"
20178781,사라진 밤,[{'genreNm': '스릴러'}]
20170841,리틀 포레스트,[{'genreNm': '드라마'}]
20180564,툼레이더,"[{'genreNm': '액션'}, {'genreNm': '어드벤처'}]"
20150969,궁합,"[{'genreNm': '코미디'}, {'genreNm': '드라마'}]"
20170561,블랙 팬서,"[{'genreNm': '액션'}, {'genreNm': '드라마'}, {'genreNm': 'SF'}]"
20177946,월요일이 사라졌다,"[{'genreNm': '액션'}, {'genreNm': '어드벤처'}, {'genreNm': '범죄'}]"
20173436,셰이프 오브 워터: 사랑의 모양,"[{'genreNm': '어드벤처'}, {'genreNm': '판타지'}]"
20178490,온리 더 브레이브,[{'genreNm': '드라마'}]
20189861,더 포스트,"[{'genreNm': '드라마'}, {'genreNm': '스릴러'}]"
20176070,플로리다 프로젝트,[{'genreNm': '드라마'}]
20170669,지금 만나러 갑니다,[{'genreNm': '멜로/로맨스'}]
20178781,사라진 밤,[{'genreNm': '스릴러'}]
20170841,리틀 포레스트,[{'genreNm': '드라마'}]
20172244,치즈인더트랩,"[{'genreNm': '멜로/로맨스'}, {'genreNm': '스릴러'}]"
20180302,허리케인 하이스트,"[{'genreNm': '액션'}, {'genreNm': '범죄'}]"
20180564,툼레이더,"[{'genreNm': '액션'}, {'genreNm': '어드벤처'}]"
20150969,궁합,"[{'genreNm': '코미디'}, {'genreNm': '드라마'}]"
20173436,셰이프 오브 워터: 사랑의 모양,"[{'genreNm': '어드벤처'}, {'genreNm': '판타지'}]"
20178449,쓰리 빌보드,"[{'genreNm': '코미디'}, {'genreNm': '범죄'}, {'genreNm': '드라마'}]"
20170561,블랙 팬서,"[{'genreNm': '액션'}, {'genreNm': '드라마'}, {'genreNm': 'SF'}]"
20170669,지금 만나러 갑니다,[{'genreNm': '멜로/로맨스'}]
20174603,퍼시픽 림: 업라이징,"[{'genreNm': '액션'}, {'genreNm': '어드벤처'}, {'genreNm': 'SF'}]"
20178781,사라진 밤,[{'genreNm': '스릴러'}]
20170841,리틀 포레스트,[{'genreNm': '드라마'}]
20178522,콜 미 바이 유어 네임,"[{'genreNm': '드라마'}, {'genreNm': '멜로/로맨스'}]"
20180804,곤지암,"[{'genreNm': '공포(호러)'}, {'genreNm': '스릴러'}]"
20172244,치즈인더트랩,"[{'genreNm': '멜로/로맨스'}, {'genreNm': '스릴러'}]"
20181366,미니특공대X,[{'genreNm': '애니메이션'}]
20180302,허리케인 하이스트,"[{'genreNm': '액션'}, {'genreNm': '범죄'}]"
20178449,쓰리 빌보드,"[{'genreNm': '코미디'}, {'genreNm': '범죄'}, {'genreNm': '드라마'}]"
20180804,곤지암,"[{'genreNm': '공포(호러)'}, {'genreNm': '스릴러'}]"
20171122,레디 플레이어 원,"[{'genreNm': '액션'}, {'genreNm': 'SF'}, {'genreNm': '어드벤처'}]"
20170669,지금 만나러 갑니다,[{'genreNm': '멜로/로맨스'}]
20154908,7년의 밤,"[{'genreNm': '스릴러'}, {'genreNm': '드라마'}]"
20174603,퍼시픽 림: 업라이징,"[{'genreNm': '액션'}, {'genreNm': '어드벤처'}, {'genreNm': 'SF'}]"
20178522,콜 미 바이 유어 네임,"[{'genreNm': '드라마'}, {'genreNm': '멜로/로맨스'}]"
20170841,리틀 포레스트,[{'genreNm': '드라마'}]
20181366,미니특공대X,[{'genreNm': '애니메이션'}]
20178781,사라진 밤,[{'genreNm': '스릴러'}]
20173962,소공녀,"[{'genreNm': '멜로/로맨스'}, {'genreNm': '드라마'}]"
20180804,곤지암,"[{'genreNm': '공포(호러)'}, {'genreNm': '스릴러'}]"
20171122,레디 플레이어 원,"[{'genreNm': '액션'}, {'genreNm': 'SF'}, {'genreNm': '어드벤처'}]"
20153447,바람 바람 바람,[{'genreNm': '코미디'}]
20170669,지금 만나러 갑니다,[{'genreNm': '멜로/로맨스'}]
20181561,덕구,[{'genreNm': '드라마'}]
20154908,7년의 밤,"[{'genreNm': '스릴러'}, {'genreNm': '드라마'}]"
20178424,레이디 버드,"[{'genreNm': '코미디'}, {'genreNm': '드라마'}]"
20182021,번개맨과 신비의 섬,"[{'genreNm': '가족'}, {'genreNm': '뮤지컬'}]"
20178522,콜 미 바이 유어 네임,"[{'genreNm': '드라마'}, {'genreNm': '멜로/로맨스'}]"
20181788,콰이어트 플레이스,"[{'genreNm': '공포(호러)'}, {'genreNm': '스릴러'}, {'genreNm': '드라마'}]"
20176917,램페이지,[{'genreNm': '액션'}]
20153447,바람 바람 바람,[{'genreNm': '코미디'}]
20171122,레디 플레이어 원,"[{'genreNm': '액션'}, {'genreNm': 'SF'}, {'genreNm': '어드벤처'}]"
20180804,곤지암,"[{'genreNm': '공포(호러)'}, {'genreNm': '스릴러'}]"
20181788,콰이어트 플레이스,"[{'genreNm': '공포(호러)'}, {'genreNm': '스릴러'}, {'genreNm': '드라마'}]"
20182352,"그날, 바다",[{'genreNm': '다큐멘터리'}]
20181561,덕구,[{'genreNm': '드라마'}]
20170669,지금 만나러 갑니다,[{'genreNm': '멜로/로맨스'}]
20165045,머니백,"[{'genreNm': '액션'}, {'genreNm': '드라마'}]"
20178424,레이디 버드,"[{'genreNm': '코미디'}, {'genreNm': '드라마'}]"
20176917,램페이지,[{'genreNm': '액션'}]
20182352,"그날, 바다",[{'genreNm': '다큐멘터리'}]
20181788,콰이어트 플레이스,"[{'genreNm': '공포(호러)'}, {'genreNm': '스릴러'}, {'genreNm': '드라마'}]"
20171122,레디 플레이어 원,"[{'genreNm': '액션'}, {'genreNm': 'SF'}, {'genreNm': '어드벤처'}]"
20153447,바람 바람 바람,[{'genreNm': '코미디'}]
20177266,나를 기억해,"[{'genreNm': '미스터리'}, {'genreNm': '범죄'}, {'genreNm': '스릴러'}]"
20180804,곤지암,"[{'genreNm': '공포(호러)'}, {'genreNm': '스릴러'}]"
20181561,덕구,[{'genreNm': '드라마'}]
20182360,정글번치: 최강 악당의 등장,[{'genreNm': '애니메이션'}]
20182701,크리미널 스쿼드,"[{'genreNm': '범죄'}, {'genreNm': '액션'}]"
20177478,어벤져스: 인피니티 워,"[{'genreNm': '액션'}, {'genreNm': '어드벤처'}, {'genreNm': '판타지'}, {'genreNm': 'SF'}]"
20176917,램페이지,[{'genreNm': '액션'}]
20182352,"그날, 바다",[{'genreNm': '다큐멘터리'}]
20181788,콰이어트 플레이스,"[{'genreNm': '공포(호러)'}, {'genreNm': '스릴러'}, {'genreNm': '드라마'}]"
20167007,살인소설,[{'genreNm': '스릴러'}]
20182561,당갈,"[{'genreNm': '액션'}, {'genreNm': '드라마'}]"
20153447,바람 바람 바람,[{'genreNm': '코미디'}]
20177266,나를 기억해,"[{'genreNm': '미스터리'}, {'genreNm': '범죄'}, {'genreNm': '스릴러'}]"
20171122,레디 플레이어 원,"[{'genreNm': '액션'}, {'genreNm': 'SF'}, {'genreNm': '어드벤처'}]"
20183195,레오나르도 다 빈치,[{'genreNm': '애니메이션'}]
20177478,어벤져스: 인피니티 워,"[{'genreNm': '액션'}, {'genreNm': '어드벤처'}, {'genreNm': '판타지'}, {'genreNm': 'SF'}]"
20189783,챔피언,[{'genreNm': '드라마'}]
20182984,얼리맨,[{'genreNm': '애니메이션'}]
20182352,"그날, 바다",[{'genreNm': '다큐멘터리'}]
20182989,커다랗고 커다랗고 커다란 배,[{'genreNm': '애니메이션'}]
20182385,매직빈,[{'genreNm': '애니메이션'}]
20183195,레오나르도 다 빈치,[{'genreNm': '애니메이션'}]
20177005,레슬러,"[{'genreNm': '드라마'}, {'genreNm': '코미디'}]"
20182561,당갈,"[{'genreNm': '액션'}, {'genreNm': '드라마'}]"
20176069,원더스트럭,[{'genreNm': '드라마'}]
20177478,어벤져스: 인피니티 워,"[{'genreNm': '액션'}, {'genreNm': '어드벤처'}, {'genreNm': '판타지'}, {'genreNm': 'SF'}]"
20177005,레슬러,"[{'genreNm': '드라마'}, {'genreNm': '코미디'}]"
20189783,챔피언,[{'genreNm': '드라마'}]
20182989,커다랗고 커다랗고 커다란 배,[{'genreNm': '애니메이션'}]
20182984,얼리맨,[{'genreNm': '애니메이션'}]
20182561,당갈,"[{'genreNm': '액션'}, {'genreNm': '드라마'}]"
20137352,루비 스팍스,"[{'genreNm': '코미디'}, {'genreNm': '판타지'}]"
20176067,"부르고뉴, 와인에서 찾은 인생",[{'genreNm': '드라마'}]
20182352,"그날, 바다",[{'genreNm': '다큐멘터리'}]
20182385,매직빈,[{'genreNm': '애니메이션'}]
20176848,데드풀 2,"[{'genreNm': '액션'}, {'genreNm': '어드벤처'}, {'genreNm': '코미디'}, {'genreNm': 'SF'}]"
20177478,어벤져스: 인피니티 워,"[{'genreNm': '액션'}, {'genreNm': '어드벤처'}, {'genreNm': '판타지'}, {'genreNm': 'SF'}]"
20173202,버닝,[{'genreNm': '미스터리'}]
20177005,레슬러,"[{'genreNm': '드라마'}, {'genreNm': '코미디'}]"
20183084,피터 래빗,"[{'genreNm': '애니메이션'}, {'genreNm': '가족'}]"
20189783,챔피언,[{'genreNm': '드라마'}]
20182046,"안녕, 나의 소녀",[{'genreNm': '멜로/로맨스'}]
20183321,마징가 Z: 인피니티,"[{'genreNm': '애니메이션'}, {'genreNm': 'SF'}, {'genreNm': '액션'}]"
20182561,당갈,"[{'genreNm': '액션'}, {'genreNm': '드라마'}]"
20176067,"부르고뉴, 와인에서 찾은 인생",[{'genreNm': '드라마'}]
20179383,독전,"[{'genreNm': '범죄'}, {'genreNm': '액션'}]"
20176848,데드풀 2,"[{'genreNm': '액션'}, {'genreNm': '어드벤처'}, {'genreNm': '코미디'}, {'genreNm': 'SF'}]"
20177478,어벤져스: 인피니티 워,"[{'genreNm': '액션'}, {'genreNm': '어드벤처'}, {'genreNm': '판타지'}, {'genreNm': 'SF'}]"
20183084,피터 래빗,"[{'genreNm': '애니메이션'}, {'genreNm': '가족'}]"
20183801,트루스 오어 데어,"[{'genreNm': '공포(호러)'}, {'genreNm': '스릴러'}]"
20173202,버닝,[{'genreNm': '미스터리'}]
20180789,한 솔로: 스타워즈 스토리,"[{'genreNm': '액션'}, {'genreNm': 'SF'}]"
20182046,"안녕, 나의 소녀",[{'genreNm': '멜로/로맨스'}]
20177005,레슬러,"[{'genreNm': '드라마'}, {'genreNm': '코미디'}]"
20184513,위 베어 베어스: 베이비 베어스,"[{'genreNm': '애니메이션'}, {'genreNm': '드라마'}, {'genreNm': '가족'}]"
20179383,독전,"[{'genreNm': '범죄'}, {'genreNm': '액션'}]"
20176848,데드풀 2,"[{'genreNm': '액션'}, {'genreNm': '어드벤처'}, {'genreNm': '코미디'}, {'genreNm': 'SF'}]"
20177478,어벤져스: 인피니티 워,"[{'genreNm': '액션'}, {'genreNm': '어드벤처'}, {'genreNm': '판타지'}, {'genreNm': 'SF'}]"
20183801,트루스 오어 데어,"[{'genreNm': '공포(호러)'}, {'genreNm': '스릴러'}]"
20180789,한 솔로: 스타워즈 스토리,"[{'genreNm': '액션'}, {'genreNm': 'SF'}]"
20173202,버닝,[{'genreNm': '미스터리'}]
20183084,피터 래빗,"[{'genreNm': '애니메이션'}, {'genreNm': '가족'}]"
20173865,데자뷰,"[{'genreNm': '미스터리'}, {'genreNm': '스릴러'}]"
20176053,"스탠바이, 웬디",[{'genreNm': '드라마'}]
20182046,"안녕, 나의 소녀",[{'genreNm': '멜로/로맨스'}]
20179086,쥬라기 월드: 폴른 킹덤,"[{'genreNm': '액션'}, {'genreNm': '어드벤처'}, {'genreNm': 'SF'}]"
20179383,독전,"[{'genreNm': '범죄'}, {'genreNm': '액션'}]"
20176848,데드풀 2,"[{'genreNm': '액션'}, {'genreNm': '어드벤처'}, {'genreNm': '코미디'}, {'genreNm': 'SF'}]"
20135305,극장판 포켓몬스터DP - 디아루가 VS 펄기아 VS 다크라이,[{'genreNm': '애니메이션'}]
20185081,아이 필 프리티,[{'genreNm': '코미디'}]
20184801,유전,[{'genreNm': '공포(호러)'}]
20177478,어벤져스: 인피니티 워,"[{'genreNm': '액션'}, {'genreNm': '어드벤처'}, {'genreNm': '판타지'}, {'genreNm': 'SF'}]"
20184261,벅스 프렌즈,[{'genreNm': '애니메이션'}]
20183801,트루스 오어 데어,"[{'genreNm': '공포(호러)'}, {'genreNm': '스릴러'}]"
20173202,버닝,[{'genreNm': '미스터리'}]
20179086,쥬라기 월드: 폴른 킹덤,"[{'genreNm': '액션'}, {'genreNm': '어드벤처'}, {'genreNm': 'SF'}]"
20178161,탐정: 리턴즈,"[{'genreNm': '코미디'}, {'genreNm': '범죄'}]"
20184903,오션스8,"[{'genreNm': '액션'}, {'genreNm': '범죄'}]"
20179383,독전,"[{'genreNm': '범죄'}, {'genreNm': '액션'}]"
20185081,아이 필 프리티,[{'genreNm': '코미디'}]
20184801,유전,[{'genreNm': '공포(호러)'}]
20135305,극장판 포켓몬스터DP - 디아루가 VS 펄기아 VS 다크라이,[{'genreNm': '애니메이션'}]
20176848,데드풀 2,"[{'genreNm': '액션'}, {'genreNm': '어드벤처'}, {'genreNm': '코미디'}, {'genreNm': 'SF'}]"
20172469,허스토리,[{'genreNm': '드라마'}]
20184512,토니스토리2: 고철왕국의 친구들,"[{'genreNm': '애니메이션'}, {'genreNm': '코미디'}, {'genreNm': '어드벤처'}]"
20178161,탐정: 리턴즈,"[{'genreNm': '코미디'}, {'genreNm': '범죄'}]"
20179086,쥬라기 월드: 폴른 킹덤,"[{'genreNm': '액션'}, {'genreNm': '어드벤처'}, {'genreNm': 'SF'}]"
20184903,오션스8,"[{'genreNm': '액션'}, {'genreNm': '범죄'}]"
20179383,독전,"[{'genreNm': '범죄'}, {'genreNm': '액션'}]"
20184845,미드나잇 선,[{'genreNm': '멜로/로맨스'}]
20184101,여중생A,[{'genreNm': '드라마'}]
20185081,아이 필 프리티,[{'genreNm': '코미디'}]
20184689,아일라,"[{'genreNm': '드라마'}, {'genreNm': '전쟁'}]"
